datetime,CT01,HA01,HA02,HA04,HA05,TA01,TA02,TA04,TA05
2019-05-14 11:17:00,-127.0,,,,,,,,
2019-05-14 11:18:00,,,,74.0,93.5,,,30.1,24.6
2019-05-14 11:20:00,11.9375,59.5,83.3,74.3,,26.6,23.2,30.1,28.4
2019-05-14 11:21:00,,,,,91.5,,,,
2019-05-14 11:26:00,17.3125,53.5,83.9,73.3,86.6,26.8,24.0,30.2,28.8
2019-05-14 11:31:00,20.0625,,,,,28.0,,,
2019-05-14 11:32:00,,57.4,91.8,72.7,83.5,,20.9,30.3,29.6
2019-05-14 11:37:00,20.1875,59.0,91.8,,,26.6,20.5,30.2,
2019-05-14 11:38:00,,,,72.5,82.5,,,,29.9
2019-05-14 11:43:00,-127.0,59.6,91.7,72.3,82.0,26.1,20.6,30.2,30.0
2019-05-14 11:49:00,-127.0,60.0,91.7,72.6,81.7,25.9,20.6,30.2,30.0
2019-05-14 11:54:00,-127.0,60.3,,,,25.8,,,
2019-05-14 11:55:00,,,91.8,72.5,81.4,,20.7,30.2,30.0
2019-05-14 12:00:00,-127.0,,,,,,,,
2019-05-14 12:01:00,,,,,81.4,,,,30.0
2019-05-14 12:06:00,-127.0,,,,99.9,,,,30.0
2019-05-14 12:11:00,-127.0,,,,,,,,
2019-05-14 12:12:00,,,,,92.8,,,,24.6
2019-05-14 12:17:00,-127.0,,,,,,,,
2019-05-14 12:18:00,,,,,85.3,,,,28.2
